,id,topic_id,timestamp,data
85,86,6,1643988694039407514,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=388700000))"
86,87,1,1643988694093263856,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988694, nanosec=93047123), level=20, name='minimal_publisher', msg=""Publishing: '100'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_controller/src/controller.cpp', function='timer_callback', line=38)"
87,88,3,1643988694093397155,std_msgs.msg.Int32(data=100)
88,89,6,1643988694139980521,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=398400000))"
89,90,6,1643988694240563920,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=408500000))"
90,91,6,1643988694340900527,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=418500000))"
91,92,6,1643988694441672275,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=428500000))"
92,93,6,1643988694542166300,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=438500000))"
93,94,6,1643988694642792803,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=448600000))"
94,95,6,1643988694742714069,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=458400000))"
95,96,6,1643988694843682593,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=468400000))"
96,97,1,1643988694898831021,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988694, nanosec=898317910), level=20, name='dc_motor', msg=""Publishing velocity: '204.340866'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=67)"
97,98,1,1643988694899194811,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988694, nanosec=898499433), level=20, name='dc_motor', msg=""Publishing current: '10.982194'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=71)"
98,99,4,1643988694899405130,std_msgs.msg.Float32(data=204.3408660888672)
99,100,5,1643988694899552861,std_msgs.msg.Float32(data=10.982193946838379)
100,101,6,1643988694943997913,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=478500000))"
101,102,6,1643988695044414170,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=488400000))"
102,103,1,1643988695093598653,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988695, nanosec=93050415), level=20, name='minimal_publisher', msg=""Publishing: '100'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_controller/src/controller.cpp', function='timer_callback', line=38)"
103,104,3,1643988695093909777,std_msgs.msg.Int32(data=100)
104,105,6,1643988695145262900,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=498400000))"
105,106,6,1643988695245527717,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=508400000))"
106,107,6,1643988695345809814,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=518400000))"
107,108,6,1643988695445973043,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=528400000))"
108,109,6,1643988695546717404,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=538400000))"
109,110,6,1643988695647678106,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=548400000))"
110,111,6,1643988695748593582,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=558400000))"
111,112,6,1643988695848995108,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=568400000))"
112,113,1,1643988695898854100,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988695, nanosec=898450869), level=20, name='dc_motor', msg=""Publishing velocity: '288.729492'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=67)"
113,114,4,1643988695899021561,std_msgs.msg.Float32(data=288.7294921875)
114,115,5,1643988695899111572,std_msgs.msg.Float32(data=10.559685707092285)
115,116,1,1643988695899186318,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988695, nanosec=898549903), level=20, name='dc_motor', msg=""Publishing current: '10.559686'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_gazebo/plugins/dc_motor_plugin/src/dc_motor_plugin.cc', function='Publish', line=71)"
116,117,6,1643988695949085022,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=578300000))"
117,118,6,1643988696049893138,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=588200000))"
118,119,1,1643988696093539398,"rcl_interfaces.msg.Log(stamp=builtin_interfaces.msg.Time(sec=1643988696, nanosec=93146202), level=20, name='minimal_publisher', msg=""Publishing: '100'"", file='/home/matheuswagner/repos/adaptive-cubesat-adcs/cubesat-simulation/src/cubesat_controller/src/controller.cpp', function='timer_callback', line=38)"
119,120,3,1643988696093698006,std_msgs.msg.Int32(data=100)
120,121,6,1643988696150424708,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=598100000))"
121,122,6,1643988696251151111,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=608100000))"
122,123,6,1643988696351799221,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=618400000))"
123,124,6,1643988696452534600,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=628500000))"
124,125,6,1643988696552787620,"rosgraph_msgs.msg.Clock(clock=builtin_interfaces.msg.Time(sec=6, nanosec=638500000))"
